continent,country_clean,ISO_A,year,sector,age_group,education_level,lpr_m,lpr_f,lpr_gap
Asia,"United Arab Emirates",ARE_A,2021,Other,"Senior (55+)",Basic,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2021,Other,"Senior (55+)",Intermediate,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2021,Other,"Senior (55+)",Advanced,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Child (<15)","Less than basic",NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Child (<15)",Basic,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Child (<15)",Intermediate,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Child (<15)",Advanced,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Adults (25-54)","Less than basic",NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Adults (25-54)",Basic,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Adults (25-54)",Intermediate,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Adults (25-54)",Advanced,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Youth (15-24)","Less than basic",NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Youth (15-24)",Basic,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Youth (15-24)",Intermediate,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Youth (15-24)",Advanced,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Senior (55+)","Less than basic",NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Senior (55+)",Basic,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Senior (55+)",Intermediate,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2018,Other,"Senior (55+)",Advanced,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Child (<15)","Less than basic",NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Child (<15)",Basic,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Child (<15)",Intermediate,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Child (<15)",Advanced,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Adults (25-54)","Less than basic",NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Adults (25-54)",Basic,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Adults (25-54)",Intermediate,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Adults (25-54)",Advanced,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Adults (25-54)","Not stated",98.08281818181818,56.54981818181819,41.532999999999994
Asia,"United Arab Emirates",ARE_A,2017,Other,"Youth (15-24)","Less than basic",NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Youth (15-24)",Basic,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Youth (15-24)",Intermediate,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Youth (15-24)",Advanced,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Senior (55+)","Less than basic",NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Senior (55+)",Basic,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Senior (55+)",Intermediate,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2017,Other,"Senior (55+)",Advanced,NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2021,Other,"Adults (25-54)","Not stated",97.2240909090909,58.76609090909091,38.45799999999999
Asia,"United Arab Emirates",ARE_A,2021,Other,"Senior (55+)","Not stated",66.41885714285715,15.747857142857143,50.67100000000001
Asia,"United Arab Emirates",ARE_A,2020,Other,"Adults (25-54)","Not stated",97.0809090909091,69.11972727272727,27.961181818181828
Asia,"United Arab Emirates",ARE_A,2020,Other,"Senior (55+)","Not stated",70.98714285714286,22.850285714285718,48.13685714285714
Asia,"United Arab Emirates",ARE_A,2019,Other,"Adults (25-54)","Not stated",97.77481818181819,62.89736363636364,34.87745454545455
Asia,"United Arab Emirates",ARE_A,2019,Other,"Senior (55+)","Not stated",73.75971428571428,19.292,54.46771428571428
Asia,"United Arab Emirates",ARE_A,2018,Other,"Adults (25-54)","Not stated",98.19636363636363,55.571272727272714,42.625090909090915
Asia,"United Arab Emirates",ARE_A,2018,Other,"Senior (55+)","Not stated",69.26542857142857,17.362571428571428,51.902857142857144
Asia,"United Arab Emirates",ARE_A,2017,Other,"Senior (55+)","Not stated",66.46771428571428,16.308,50.15971428571428
Asia,"United Arab Emirates",ARE_A,2016,Other,"Youth (15-24)","Not stated",47.163333333333334,22.376666666666665,24.78666666666667
Asia,"United Arab Emirates",ARE_A,2016,Other,"Adults (25-54)","Not stated",98.68199999999999,55.590999999999994,43.090999999999994
Asia,"United Arab Emirates",ARE_A,2016,Other,"Senior (55+)","Not stated",72.37,15.68857142857143,56.681428571428576
Asia,Thailand,THA_A,2023,Other,"Child (<15)","Not stated",76.614,60.612,16.002000000000002
Asia,Thailand,THA_A,2023,Other,"Youth (15-24)","Not stated",47.9002,35.3842,12.515999999999998
Asia,Thailand,THA_A,2022,Other,"Child (<15)","Not stated",75.964,59.857,16.107
Asia,Thailand,THA_A,2022,Other,"Youth (15-24)","Not stated",47.1456,34.340199999999996,12.805400000000006
Asia,Thailand,THA_A,2021,Other,"Child (<15)","Not stated",75.222,59.226,15.995999999999995
Asia,Thailand,THA_A,2021,Other,"Youth (15-24)","Not stated",47.6646,34.0812,13.583399999999997
Asia,Thailand,THA_A,2020,Other,"Child (<15)","Not stated",75.427,59.188,16.239000000000004
Asia,Thailand,THA_A,2020,Other,"Youth (15-24)","Not stated",48.5862,34.5616,14.0246
Asia,Thailand,THA_A,2019,Other,"Child (<15)","Not stated",75.496,59.006,16.489999999999995
Asia,Thailand,THA_A,2019,Other,"Youth (15-24)","Not stated",48.895999999999994,34.7558,14.140199999999993
Asia,Thailand,THA_A,2018,Other,"Child (<15)","Not stated",76.526,59.653,16.872999999999998
Asia,Thailand,THA_A,2018,Other,"Youth (15-24)","Not stated",50.6996,35.6524,15.047199999999997
Asia,Thailand,THA_A,2017,Other,"Child (<15)","Not stated",76.185,59.388,16.797000000000004
Asia,Thailand,THA_A,2017,Other,"Youth (15-24)","Not stated",49.92260000000001,35.4524,14.470200000000013
Asia,Thailand,THA_A,2016,Other,"Child (<15)","Not stated",76.878,60.181,16.697000000000003
Asia,Thailand,THA_A,2016,Other,"Youth (15-24)","Not stated",50.685199999999995,36.209599999999995,14.4756
Asia,Thailand,THA_A,2015,Other,"Child (<15)","Not stated",77.929,61.097,16.832
Asia,Thailand,THA_A,2015,Other,"Youth (15-24)","Not stated",51.67659999999999,36.4836,15.19299999999999
Asia,Thailand,THA_A,2014,Other,"Child (<15)","Not stated",78.69,61.532,17.158
Asia,Thailand,THA_A,2014,Other,"Youth (15-24)","Not stated",52.96419999999999,36.9902,15.97399999999999
Asia,Thailand,THA_A,2013,Other,"Child (<15)","Not stated",78.964,62.066,16.897999999999996
Asia,Thailand,THA_A,2013,Other,"Youth (15-24)","Not stated",54.7196,37.394,17.3256
Asia,Thailand,THA_A,2023,Other,"Child (<15)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Child (<15)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Child (<15)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Child (<15)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Adults (25-54)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Adults (25-54)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Adults (25-54)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Adults (25-54)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Adults (25-54)","Not stated",93.5759090909091,81.19727272727272,12.378636363636375
Asia,Thailand,THA_A,2023,Other,"Youth (15-24)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Youth (15-24)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Youth (15-24)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Youth (15-24)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Senior (55+)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Senior (55+)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Senior (55+)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Senior (55+)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2023,Other,"Senior (55+)","Not stated",61.65414285714285,43.13057142857143,18.523571428571422
Asia,Thailand,THA_A,2022,Other,"Child (<15)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Child (<15)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Child (<15)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Child (<15)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Adults (25-54)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Adults (25-54)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Adults (25-54)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Adults (25-54)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Adults (25-54)","Not stated",93.052,80.25754545454545,12.794454545454556
